W / cm-1,R Gamma,R Delta,W / cm-1,Eps KKG Gamma Real,Eps KKG Gamma Imag,Eps KKG Delta Real,Eps KKG Delta Imag,W / cm-1,Eps Fit Gamma Real,Eps Fit Gamma Imag,Eps Fit Delta Real,Eps Fit Delta Imag
98.36428,0.08053,0.06785,100.293,10.58569,2.27025,10.34594,2.36407,0,10.99195,0,10.56216,0
100.293,0.08163,0.06915,102.222,10.80058,2.50934,10.35198,2.48874,2.001,10.99175,0.04917,10.56204,0.04077
102.2217,0.08361,0.06944,104.15,10.56989,2.77799,10.22486,2.59824,4.002,10.99112,0.09833,10.56169,0.08154
104.1504,0.08271,0.06891,106.079,10.23016,2.75197,10.07107,2.65372,6.003,10.99007,0.14748,10.56111,0.1223
106.0791,0.08036,0.06811,108.008,10.08519,2.53854,9.85253,2.50581,8.004,10.9886,0.19661,10.5603,0.16306
108.0078,0.07882,0.06645,109.936,10.19932,2.37982,9.93295,2.3291,10.005,10.98672,0.24571,10.55925,0.20381
109.9365,0.07922,0.06656,111.865,10.39896,2.4268,10.16787,2.41324,12.006,10.98442,0.29479,10.55797,0.24455
111.8653,0.0807,0.06817,113.794,10.43638,2.57255,10.12021,2.562,14.007,10.9817,0.34383,10.55646,0.28528
113.794,0.0813,0.0682,115.723,10.36757,2.65576,10.0223,2.57186,16.008,10.97856,0.39284,10.55472,0.326
115.7227,0.08104,0.06763,117.651,10.33639,2.69151,10.0756,2.61528,18.009,10.97501,0.44179,10.55274,0.3667
117.6514,0.08092,0.06805,119.58,10.33984,2.75965,10.06875,2.72854,20.01001,10.97104,0.49069,10.55053,0.40739
119.5801,0.08112,0.06827,121.509,10.28962,2.84511,9.99216,2.85207,22.01101,10.96666,0.53953,10.54809,0.44806
121.5088,0.08101,0.06811,123.438,10.18678,2.86008,9.84268,2.94688,24.01201,10.96186,0.5883,10.54542,0.48871
123.4375,0.08036,0.06746,125.366,10.15727,2.8341,9.62459,2.91736,26.01301,10.95664,0.63701,10.54251,0.52933
125.3662,0.08009,0.06608,127.295,10.19915,2.88772,9.49158,2.81543,28.01401,10.95102,0.68563,10.53937,0.56993
127.295,0.08052,0.06501,129.224,10.14036,2.98442,9.39511,2.67898,30.01501,10.94498,0.73417,10.53599,0.61051
129.2237,0.0804,0.06407,131.152,9.97706,2.93449,9.32596,2.41658,32.01601,10.93854,0.78263,10.53239,0.65105
131.1524,0.07916,0.063,133.081,9.97722,2.79016,9.51742,2.12556,34.01701,10.93168,0.83098,10.52855,0.69157
133.0811,0.07875,0.06356,135.01,10.17327,2.79099,10.00966,2.13662,36.01801,10.92441,0.87924,10.52447,0.73205
135.0098,0.08008,0.06665,136.939,10.28398,2.95312,10.31009,2.53721,38.01901,10.91674,0.92738,10.52017,0.7725
136.9385,0.08127,0.06929,138.867,10.23561,3.12698,10.10694,2.87515,40.02001,10.90867,0.97541,10.51563,0.8129
138.8672,0.08145,0.06885,140.796,10.10917,3.22405,9.81702,2.86652,42.02101,10.90019,1.02332,10.51086,0.85327
140.7959,0.08091,0.0671,142.725,9.97701,3.20256,9.78942,2.75304,44.02201,10.89131,1.0711,10.50585,0.8936
142.7246,0.07997,0.06665,144.653,9.96579,3.14947,9.90191,2.75017,46.02301,10.88203,1.11875,10.50062,0.93388
144.6534,0.07973,0.06732,146.582,10.03974,3.20413,9.96723,2.82321,48.02401,10.87235,1.16626,10.49515,0.97411
146.5821,0.08039,0.06789,148.511,10.01299,3.31374,10.02505,2.96943,50.02501,10.86228,1.21362,10.48945,1.01429
148.5108,0.08056,0.0686,150.44,9.90731,3.36392,9.98231,3.20431,52.02601,10.85181,1.26083,10.48351,1.05442
150.4395,0.08003,0.06897,152.368,9.82598,3.35304,9.71074,3.31177,54.02701,10.84095,1.30788,10.47735,1.09449
152.3682,0.07946,0.06769,154.297,9.7954,3.3112,9.44711,3.17746,56.02801,10.82971,1.35476,10.47095,1.13451
154.2969,0.07912,0.06575,156.226,9.84281,3.33772,9.39345,2.92424,58.02901,10.81807,1.40146,10.46433,1.17446
156.2256,0.07952,0.06471,158.154,9.83128,3.43196,9.58841,2.76681,60.03002,10.80606,1.44799,10.45747,1.21435
158.1543,0.07976,0.06547,160.083,9.71442,3.45938,9.86888,2.87038,62.03102,10.79366,1.49434,10.45039,1.25417
160.083,0.07909,0.06742,162.012,9.63588,3.4088,9.92666,3.13303,64.03202,10.78089,1.54048,10.44307,1.29392
162.0118,0.0784,0.06845,163.94,9.6326,3.34239,9.73788,3.26056,66.03302,10.76775,1.58643,10.43553,1.3336
163.9405,0.07815,0.0677,165.869,9.6898,3.31647,9.59084,3.18849,68.03402,10.75423,1.63218,10.42776,1.3732
165.8692,0.07844,0.06663,167.798,9.75681,3.3486,9.64628,3.12268,70.03502,10.74035,1.6777,10.41977,1.41273
167.7979,0.07899,0.06677,169.727,9.7961,3.42311,9.76518,3.21512,72.03602,10.72611,1.72301,10.41155,1.45217
169.7266,0.0795,0.06773,171.655,9.79346,3.52408,9.73704,3.39895,74.03702,10.71151,1.76809,10.4031,1.49152
171.6553,0.07983,0.0681,173.584,9.72636,3.59638,9.53571,3.47906,76.03802,10.69656,1.81294,10.39444,1.53078
173.584,0.07965,0.06718,175.513,9.65039,3.61343,9.33422,3.37332,78.03902,10.68125,1.85754,10.38555,1.56995
175.5127,0.07922,0.06568,177.441,9.61096,3.61202,9.28721,3.17299,80.04002,10.66561,1.9019,10.37644,1.60902
177.4415,0.07896,0.06479,179.37,9.58742,3.60726,9.41654,3.02166,82.04102,10.64962,1.946,10.36712,1.64799
179.3702,0.07879,0.06512,181.299,9.58111,3.60753,9.6315,3.02079,84.04202,10.6333,1.98984,10.35758,1.68686
181.2989,0.07875,0.0664,183.228,9.58335,3.62536,9.77809,3.15958,86.04302,10.61665,2.03341,10.34783,1.72562
183.2276,0.07883,0.06765,185.156,9.5715,3.64346,9.76996,3.28938,88.04402,10.59968,2.07671,10.33786,1.76427
185.1563,0.07882,0.06797,187.085,9.56196,3.66283,9.73129,3.30496,90.04502,10.58239,2.11972,10.32769,1.8028
187.085,0.07883,0.06779,189.014,9.54282,3.67452,9.8323,3.35762,92.04602,10.56479,2.16244,10.31731,1.84122
189.0137,0.07875,0.06853,190.942,9.52671,3.64875,9.91759,3.56335,94.04702,10.54689,2.20486,10.30672,1.87951
190.9424,0.07855,0.06963,192.871,9.57641,3.64031,9.78992,3.74177,96.04802,10.52869,2.24698,10.29594,1.91768
192.8711,0.07884,0.06946,194.8,9.63952,3.70079,9.61225,3.76418,98.04902,10.51021,2.28879,10.28495,1.95571
194.7998,0.07947,0.06853,196.729,9.63305,3.76292,9.53817,3.73635,100.05,10.49144,2.33028,10.27377,1.99361
196.7286,0.07966,0.06802,198.657,9.61862,3.77946,9.50266,3.70948,102.051,10.4724,2.37145,10.2624,2.03138
198.6573,0.07963,0.06773,200.586,9.66188,3.81765,9.4912,3.67146,104.052,10.45309,2.41228,10.25084,2.069
200.586,0.08005,0.06754,202.515,9.69492,3.91237,9.53587,3.65795,106.053,10.43352,2.45278,10.2391,2.10647
202.5147,0.08062,0.06775,204.443,9.65783,3.99827,9.60135,3.7188,108.054,10.41371,2.49293,10.22718,2.1438
204.4434,0.08072,0.06832,206.372,9.60537,4.03339,9.59827,3.83019,110.055,10.39366,2.53273,10.21509,2.18097
206.3721,0.08053,0.06867,208.301,9.59506,4.05457,9.49917,3.85281,112.056,10.37338,2.57217,10.20282,2.21799
208.3008,0.08055,0.06819,210.23,9.612,4.11805,9.47595,3.82048,114.057,10.35289,2.61125,10.19039,2.25485
210.2295,0.08091,0.06795,212.158,9.58655,4.2083,9.52372,3.8653,116.058,10.33219,2.64996,10.17779,2.29154
212.1583,0.08112,0.06837,214.087,9.5083,4.25906,9.48461,3.90881,118.059,10.31129,2.6883,10.16504,2.32806
214.087,0.08085,0.0683,216.016,9.44218,4.26278,9.44001,3.88828,120.06,10.2902,2.72625,10.15215,2.36441
216.0157,0.08046,0.06798,217.944,9.41378,4.25673,9.46477,3.86832,122.061,10.26895,2.76382,10.13911,2.40059
217.9444,0.08026,0.06805,219.873,9.40485,4.24845,9.50984,3.87051,124.062,10.24754,2.80099,10.12593,2.43659
219.8731,0.08017,0.06831,221.802,9.42405,4.25367,9.57209,3.8857,126.063,10.22598,2.83776,10.11262,2.4724
221.8018,0.08031,0.06871,223.731,9.45737,4.29984,9.67326,3.98489,128.064,10.20428,2.87414,10.09919,2.50803
223.7305,0.08071,0.06961,225.659,9.45906,4.37001,9.69092,4.17907,130.065,10.18247,2.91011,10.08564,2.54348
225.6592,0.08102,0.07038,227.588,9.42542,4.42171,9.53365,4.26398,132.066,10.16056,2.94566,10.07198,2.57873
227.588,0.08104,0.06983,229.517,9.39591,4.44646,9.42194,4.20296,134.067,10.13856,2.98081,10.05822,2.61379
229.5167,0.08097,0.069,231.445,9.39175,4.48402,9.45295,4.17032,136.068,10.11648,3.01553,10.04437,2.64865
231.4454,0.08111,0.06905,233.374,9.37205,4.53089,9.48287,4.17487,138.069,10.09435,3.04984,10.03044,2.68331
233.3741,0.0812,0.06923,235.303,9.33771,4.541,9.51539,4.1672,140.07,10.07218,3.08373,10.01643,2.71777
235.3028,0.08104,0.06938,237.232,9.35238,4.56383,9.60769,4.22211,142.071,10.05,3.11719,10.00235,2.75203
237.2315,0.08123,0.07008,239.16,9.36709,4.64417,9.65544,4.34157,144.072,10.02781,3.15023,9.98822,2.78609
239.1602,0.08168,0.07077,241.089,9.30956,4.70522,9.62321,4.43752,146.073,10.00563,3.18284,9.97405,2.81993
241.0889,0.08162,0.07095,243.018,9.24644,4.70109,9.58465,4.50031,148.074,9.98349,3.21503,9.95984,2.85357
243.0176,0.08123,0.07098,244.946,9.24484,4.69233,9.54889,4.53963,150.075,9.96141,3.2468,9.9456,2.887
244.9463,0.08118,0.07094,246.875,9.26657,4.72516,9.52427,4.55532,152.076,9.93941,3.27814,9.93135,2.92022
246.8751,0.08146,0.07087,248.804,9.25707,4.76704,9.52827,4.56284,154.077,9.9175,3.30907,9.9171,2.95323
248.8038,0.0816,0.07092,250.732,9.23423,4.77838,9.56211,4.5712,156.078,9.89571,3.33958,9.90286,2.98603
250.7325,0.08152,0.07113,252.661,9.2435,4.77751,9.6361,4.62907,158.079,9.87407,3.36969,9.88865,3.01862
252.6612,0.08157,0.07174,254.59,9.28743,4.78478,9.68559,4.76231,160.08,9.85259,3.39939,9.87447,3.051
254.5899,0.08186,0.07251,256.519,9.3673,4.84602,9.63543,4.86916,162.081,9.8313,3.4287,9.86035,3.08317
256.5186,0.08261,0.07267,258.447,9.42328,4.99897,9.57437,4.88739,164.082,9.81023,3.45762,9.84629,3.11513
258.4473,0.08365,0.07243,260.376,9.35889,5.15016,9.59757,4.90031,166.083,9.78939,3.48617,9.83231,3.1469
260.376,0.08401,0.0726,262.305,9.22897,5.18614,9.65643,4.97044,168.084,9.76882,3.51435,9.81843,3.17846
262.3048,0.08346,0.07318,264.233,9.17078,5.1368,9.68489,5.08148,170.085,9.74853,3.54218,9.80466,3.20982
264.2335,0.08289,0.07377,266.162,9.224,5.12496,9.66955,5.1935,172.086,9.72855,3.56968,9.79102,3.24099
266.1622,0.08313,0.07415,268.091,9.29959,5.21584,9.629,5.28049,174.087,9.70892,3.59685,9.77753,3.27197
268.0909,0.084,0.07431,270.02,9.29129,5.34987,9.58965,5.3384,176.088,9.68964,3.62373,9.7642,3.30276
270.0196,0.08462,0.07436,271.948,9.20445,5.41391,9.57234,5.37491,178.089,9.67076,3.65032,9.75105,3.33338
271.9483,0.08447,0.07443,273.877,9.15211,5.39331,9.5907,5.42914,180.09,9.65229,3.67666,9.7381,3.36383
273.877,0.08408,0.07475,275.806,9.20094,5.39999,9.61138,5.50875,182.091,9.63426,3.70276,9.72537,3.39411
275.8057,0.08438,0.07519,277.734,9.27449,5.50045,9.62454,5.58239,184.092,9.61669,3.72865,9.71289,3.42424
277.7344,0.08529,0.07557,279.663,9.27969,5.64494,9.66333,5.70143,186.093,9.59962,3.75437,9.70067,3.45423
279.6632,0.08606,0.07627,281.592,9.21659,5.77158,9.65918,5.86314,188.094,9.58305,3.77994,9.68874,3.48408
281.5919,0.08639,0.07696,283.521,9.12328,5.83254,9.59096,5.9737,190.095,9.56702,3.80539,9.67711,3.51382
283.5206,0.08623,0.07714,285.449,9.06942,5.83943,9.55275,6.05831,192.096,9.55155,3.83077,9.66581,3.54344
285.4493,0.08599,0.07735,287.378,9.08353,5.88711,9.53423,6.18543,194.097,9.53665,3.8561,9.65487,3.57298
287.378,0.08632,0.07785,289.307,9.0832,5.99041,9.46587,6.29744,196.098,9.52235,3.88144,9.64432,3.60244
289.3067,0.08688,0.07807,291.235,9.02854,6.0767,9.40053,6.35782,198.099,9.50866,3.90682,9.63417,3.63184
291.2354,0.08708,0.07807,293.164,8.97121,6.12965,9.38704,6.44966,200.1001,9.49561,3.93229,9.62445,3.66121
293.1641,0.08709,0.07845,295.093,8.93962,6.16448,9.3565,6.56379,202.1011,9.48319,3.9579,9.6152,3.69056
295.0928,0.08713,0.07887,297.022,8.94714,6.2112,9.31503,6.65906,204.1021,9.47143,3.98369,9.60645,3.71992
297.0216,0.08743,0.07916,298.95,8.97402,6.33652,9.29653,6.80438,206.1031,9.46033,4.00973,9.59821,3.74933
298.9503,0.08827,0.0798,300.879,8.92916,6.503,9.21802,6.98362,208.1041,9.4499,4.03606,9.59053,3.77879
300.879,0.08901,0.08038,302.808,8.80937,6.61046,9.07163,7.07519,210.1051,9.44014,4.06275,9.58344,3.80836
302.8077,0.08908,0.08027,304.736,8.70129,6.66154,8.98661,7.08694,212.1061,9.43105,4.08985,9.57697,3.83806
304.7364,0.08889,0.08,306.665,8.62751,6.71184,9.01026,7.16736,214.1071,9.42263,4.11743,9.57115,3.86794
306.6651,0.08886,0.08051,308.594,8.55945,6.76014,9.02902,7.36968,216.1081,9.41487,4.14555,9.56602,3.89803
308.5938,0.08885,0.08164,310.522,8.50517,6.80241,8.9521,7.60392,218.1091,9.40775,4.17427,9.56162,3.92839
310.5225,0.08887,0.0826,312.451,8.46774,6.88382,8.81706,7.81594,220.1101,9.40126,4.20366,9.55798,3.95907
312.4513,0.08921,0.08327,314.38,8.39312,6.99405,8.65911,8.04628,222.1111,9.39538,4.23378,9.55514,3.99012
314.38,0.08958,0.08401,316.309,8.26952,7.06132,8.42092,8.32444,224.1121,9.39009,4.26471,9.55314,4.02162
316.3087,0.08949,0.08483,318.237,8.15693,7.08024,8.02789,8.54697,226.1131,9.38534,4.29652,9.55202,4.05362
318.2374,0.08915,0.08498,320.166,8.08297,7.09255,7.55327,8.55827,228.1141,9.38111,4.32927,9.55183,4.0862
320.1661,0.08893,0.08377,322.095,8.03357,7.1229,7.15928,8.41303,230.1151,9.37735,4.36303,9.55259,4.11946
322.0948,0.08893,0.08186,324.024,7.98278,7.19299,6.86927,8.22857,232.1161,9.37401,4.39787,9.55435,4.15348
324.0235,0.08919,0.07996,325.952,7.89074,7.27229,6.64645,7.99902,234.1171,9.37104,4.43385,9.55715,4.18838
325.9522,0.08936,0.07791,327.881,7.77238,7.29603,6.52431,7.72203,236.1181,9.36839,4.47105,9.56102,4.22426
327.8809,0.08907,0.07576,329.81,7.69027,7.29711,6.52881,7.49369,238.1191,9.36598,4.50952,9.566,4.26126
329.8096,0.08877,0.07424,331.738,7.63457,7.33302,6.58805,7.39657,240.1201,9.36374,4.54933,9.57211,4.29952
331.7384,0.08881,0.07375,333.667,7.55983,7.37968,6.59949,7.37382,242.1211,9.3616,4.59053,9.57939,4.33919
333.6671,0.08886,0.07363,335.596,7.47082,7.41525,6.56288,7.3212,244.1221,9.35947,4.63319,9.58785,4.38047
335.5958,0.08879,0.07318,337.524,7.3819,7.43965,6.54909,7.24891,246.1231,9.35726,4.67734,9.59749,4.42353
337.5245,0.08865,0.07266,339.453,7.29845,7.45763,6.56538,7.215,248.1241,9.35487,4.72303,9.60832,4.4686
339.4532,0.08849,0.07248,341.382,7.22146,7.47452,6.57487,7.20946,250.1251,9.35221,4.77031,9.6203,4.51593
341.3819,0.08835,0.07247,343.311,7.14735,7.4963,6.56764,7.22303,252.1261,9.34917,4.81921,9.6334,4.56577
343.3106,0.08826,0.07254,345.239,7.07049,7.51716,6.54566,7.2248,254.1271,9.34562,4.86976,9.64755,4.61841
345.2393,0.08816,0.07249,347.168,6.99478,7.53266,6.54805,7.20876,256.1281,9.34147,4.92198,9.66263,4.67419
347.168,0.08803,0.07239,349.097,6.93022,7.54407,6.58504,7.2669,258.1291,9.33658,4.97588,9.67849,4.73344
349.0968,0.08791,0.07288,351.026,6.87858,7.58058,6.56196,7.41617,260.1301,9.33083,5.03147,9.69492,4.79655
351.0255,0.08802,0.07381,352.954,6.8013,7.66288,6.4237,7.52354,262.1311,9.3241,5.08875,9.71164,4.86389
